KO	Function	Pathway	Enzyme	Modules	Hyperlink
K15715	ZNRF4; Zinc/RING finger protein 4				http://rest.kegg.jp/get/K15715
K15716	ZSWIM2; E3 ubiquitin-protein ligase ZSWIM2		EC:2.3.2.27		http://rest.kegg.jp/get/K15716
K15717	K15717; prostamide/prostaglandin F2alpha synthase	map00590(Arachidonic acid metabolism); map01100(Metabolic pathways)	EC:1.11.1.20		http://rest.kegg.jp/get/K15717
K15718	LOX1_5; linoleate 9S-lipoxygenase	map00591(Linoleic acid metabolism)	EC:1.13.11.58		http://rest.kegg.jp/get/K15718
K15719	NCOAT, MGEA5; protein O-GlcNAcase / histone acetyltransferase	map04931(Insulin resistance)	EC:3.2.1.169 EC:2.3.1.48		http://rest.kegg.jp/get/K15719
K15720	N4BP2; NEDD4-binding protein 2		EC:3.-.-.-		http://rest.kegg.jp/get/K15720
K15721	fyuA; pesticin/yersiniabactin receptor				http://rest.kegg.jp/get/K15721
K15722	cedA; cell division activator				http://rest.kegg.jp/get/K15722
K15723	syd; SecY interacting protein Syd				http://rest.kegg.jp/get/K15723
K15724	erpA; iron-sulfur cluster insertion protein				http://rest.kegg.jp/get/K15724
K15725	czcC; outer membrane protein, cobalt-zinc-cadmium efflux system				http://rest.kegg.jp/get/K15725
K15726	czcA; cobalt-zinc-cadmium resistance protein CzcA				http://rest.kegg.jp/get/K15726
K15727	czcB; membrane fusion protein, cobalt-zinc-cadmium efflux system				http://rest.kegg.jp/get/K15727
K15728	LPIN; phosphatidate phosphatase LPIN	map00561(Glycerolipid metabolism); map00564(Glycerophospholipid metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:3.1.3.4		http://rest.kegg.jp/get/K15728
K15729	PTGES; microsomal prostaglandin-E synthase 1	map00590(Arachidonic acid metabolism); map01100(Metabolic pathways)	EC:5.3.99.3		http://rest.kegg.jp/get/K15729
K15730	PTGES3; cytosolic prostaglandin-E synthase	map00590(Arachidonic acid metabolism); map01100(Metabolic pathways)	EC:5.3.99.3		http://rest.kegg.jp/get/K15730
K15731	CTDSP; carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase		EC:3.1.3.16		http://rest.kegg.jp/get/K15731
K15732	CTDP1, FCP1; RNA polymerase II subunit A C-terminal domain phosphatase		EC:3.1.3.16		http://rest.kegg.jp/get/K15732
K15733	E1.11.1.19; dye decolorizing peroxidase		EC:1.11.1.19		http://rest.kegg.jp/get/K15733
K15734	SDR16C5; all-trans-retinol dehydrogenase (NAD+)	map00830(Retinol metabolism)	EC:1.1.1.105		http://rest.kegg.jp/get/K15734
K15735	csiR; GntR family transcriptional regulator, carbon starvation induced regulator				http://rest.kegg.jp/get/K15735
K15736	lhgO; L-2-hydroxyglutarate oxidase		EC:1.1.3.-		http://rest.kegg.jp/get/K15736
K15737	csiD; protein CsiD				http://rest.kegg.jp/get/K15737
K15738	uup; ABC transport system&#160;ATP-binding/permease protein				http://rest.kegg.jp/get/K15738
K15739	vanB, vanA, vanD; D-alanine---(R)-lactate ligase	map01502(Vancomycin resistance); map02020(Two-component system)	EC:6.1.2.1	M00651	http://rest.kegg.jp/get/K15739
K15740	mptN; tetrahydromethanopterin:alpha-L-glutamate ligase	map00790(Folate biosynthesis)	EC:6.3.2.33		http://rest.kegg.jp/get/K15740
K15741	MAM1, IMS3; methylthioalkylmalate synthase 1	map00966(Glucosinolate biosynthesis); map01110(Biosynthesis of secondary metabolites); map01210(2-Oxocarboxylic acid metabolism)	EC:2.3.3.17		http://rest.kegg.jp/get/K15741
K15742	MAM3, IMS2; methylthioalkylmalate synthase 3	map00966(Glucosinolate biosynthesis); map01110(Biosynthesis of secondary metabolites); map01210(2-Oxocarboxylic acid metabolism)	EC:2.3.3.17		http://rest.kegg.jp/get/K15742
K15743	CES3_5; carboxylesterase 3/5		EC:3.1.1.1		http://rest.kegg.jp/get/K15743
K15744	Z-ISO; zeta-carotene isomerase	map00906(Carotenoid biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:5.2.1.12	M00097	http://rest.kegg.jp/get/K15744
K15745	AL1; phytoene desaturase (3,4-didehydrolycopene-forming)	map00906(Carotenoid biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:1.3.99.30		http://rest.kegg.jp/get/K15745
K15746	crtZ; beta-carotene 3-hydroxylase	map00906(Carotenoid biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:1.14.15.24	M00372	http://rest.kegg.jp/get/K15746
K15747	LUT5, CYP97A3; beta-ring hydroxylase	map00906(Carotenoid biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:1.14.-.-	M00372	http://rest.kegg.jp/get/K15747
K15748	BG1; beta-D-glucopyranosyl abscisate beta-glucosidase	map00906(Carotenoid biosynthesis)	EC:3.2.1.175		http://rest.kegg.jp/get/K15748
K15749	dbfB; 2,2',3-trihydroxybiphenyl dioxygenase	map00621(Dioxin degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.13.11.-		http://rest.kegg.jp/get/K15749
K15750	bphAb, bphA2, bphE; biphenyl 2,3-dioxygenase subunit beta	map00621(Dioxin degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.14.12.18	M00543	http://rest.kegg.jp/get/K15750
K15751	carAa; carbazole 1,9a-dioxygenase	map00621(Dioxin degradation); map01100(Metabolic pathways); map01220(Degradation of aromatic compounds)	EC:1.14.12.22	M00544	http://rest.kegg.jp/get/K15751
K15752	carAc; carbazole 1,9a-dioxygenase ferredoxin component	map00621(Dioxin degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)		M00544	http://rest.kegg.jp/get/K15752
K15753	carAd; carbazole 1,9a-dioxygenase ferredoxin reductase component	map00621(Dioxin degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)		M00544	http://rest.kegg.jp/get/K15753
K15754	carBa; 2'-aminobiphenyl-2,3-diol 1,2-dioxygenase, small subunit	map00621(Dioxin degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.13.11.-	M00544	http://rest.kegg.jp/get/K15754
K15755	carBb; 2'-aminobiphenyl-2,3-diol 1,2-dioxygenase, large subunit	map00621(Dioxin degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.13.11.-	M00544	http://rest.kegg.jp/get/K15755
K15756	carC; 2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2,4-dienoate hydrolase	map00621(Dioxin degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:3.7.1.13	M00544	http://rest.kegg.jp/get/K15756
K15757	xylM; toluene methyl-monooxygenase	map00622(Xylene degradation); map00623(Toluene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.14.15.26	M00537	http://rest.kegg.jp/get/K15757
K15758	xylA; toluene methyl-monooxygenase electron transfer component	map00622(Xylene degradation); map00623(Toluene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.18.1.3	M00537	http://rest.kegg.jp/get/K15758
K15759	IMPAD1, IMPA3; inositol monophosphatase 3	map00562(Inositol phosphate metabolism); map00920(Sulfur metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map04070(Phosphatidylinositol signaling system)	EC:3.1.3.25 EC:3.1.3.7	M00131	http://rest.kegg.jp/get/K15759
K15760	tmoA, tbuA1, touA; toluene monooxygenase system protein A	map00623(Toluene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.14.13.236	M00538	http://rest.kegg.jp/get/K15760
K15761	tmoB, tbuU, touB; toluene monooxygenase system protein B	map00623(Toluene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.14.13.236	M00538	http://rest.kegg.jp/get/K15761
K15762	tmoC, tbuB, touC; toluene monooxygenase system ferredoxin subunit	map00623(Toluene degradation); map00920(Sulfur metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)		M00538	http://rest.kegg.jp/get/K15762
K15763	tmoD, tbuV, touD; toluene monooxygenase system protein D	map00623(Toluene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.14.13.236	M00538	http://rest.kegg.jp/get/K15763
K15764	tmoE, tbuA2, touE; toluene monooxygenase system protein E	map00623(Toluene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.14.13.236	M00538	http://rest.kegg.jp/get/K15764
K15765	tmoF, tbuC, touF; toluene monooxygenase electron transfer component	map00623(Toluene degradation); map00920(Sulfur metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.18.1.3	M00538	http://rest.kegg.jp/get/K15765
K15766	absAa; 2-aminobenzenesulfonate 2,3-dioxygenase subunit alpha	map00362(Benzoate degradation); map00623(Toluene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:1.14.12.14		http://rest.kegg.jp/get/K15766
K15767	absAb; 2-aminobenzenesulfonate 2,3-dioxygenase subunit beta	map00362(Benzoate degradation); map00623(Toluene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:1.14.12.14		http://rest.kegg.jp/get/K15767
K15768	tsaM; p-toluenesulfonate methyl-monooxygenase oxygenase component TsaM	map00623(Toluene degradation); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.14.13.-		http://rest.kegg.jp/get/K15768
K15769	tsaB; p-toluenesulfonate methyl-monooxygenase reductase component TsaB	map00623(Toluene degradation); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.5.1.-		http://rest.kegg.jp/get/K15769
K15770	cycB, ganO; arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein	map02010(ABC transporters)		M00491	http://rest.kegg.jp/get/K15770
K15771	ganP; arabinogalactan oligomer / maltooligosaccharide transport system permease protein	map02010(ABC transporters)		M00491	http://rest.kegg.jp/get/K15771
K15772	ganQ; arabinogalactan oligomer / maltooligosaccharide transport system permease protein	map02010(ABC transporters)		M00491	http://rest.kegg.jp/get/K15772
K15773	hipB; HTH-type transcriptional regulator / antitoxin HipB				http://rest.kegg.jp/get/K15773
K15774	5GT; betanidin 5-O-glucosyltransferase	map00965(Betalain biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:2.4.1.-		http://rest.kegg.jp/get/K15774
K15775	6GT; betanidin 6-O-glucosyltransferase	map00965(Betalain biosynthesis)	EC:2.4.1.-		http://rest.kegg.jp/get/K15775
K15776	CDOPA5GT; cyclo-DOPA 5-O-glucosyltransferase	map00965(Betalain biosynthesis)	EC:2.4.1.-		http://rest.kegg.jp/get/K15776
K15777	DOPA; 4,5-DOPA dioxygenase extradiol	map00965(Betalain biosynthesis)	EC:1.13.11.-		http://rest.kegg.jp/get/K15777
K15778	pmm-pgm; phosphomannomutase / phosphoglucomutase	map00010(Glycolysis / Gluconeogenesis); map00030(Pentose phosphate pathway); map00051(Fructose and mannose metabolism); map00052(Galactose metabolism); map00230(Purine metabolism); map00500(Starch and sucrose metabolism); map00520(Amino sugar and nucleotide sugar metabolism); map00521(Streptomycin biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics)	EC:5.4.2.8 EC:5.4.2.2	M00114	http://rest.kegg.jp/get/K15778
K15779	PGM2; phosphoglucomutase / phosphopentomutase	map00010(Glycolysis / Gluconeogenesis); map00030(Pentose phosphate pathway); map00052(Galactose metabolism); map00230(Purine metabolism); map00500(Starch and sucrose metabolism); map00520(Amino sugar and nucleotide sugar metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics)	EC:5.4.2.2 EC:5.4.2.7		http://rest.kegg.jp/get/K15779
K15780	tilS-hprT; bifunctional protein TilS/HprT	map00230(Purine metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites)	EC:6.3.4.19 EC:2.4.2.8		http://rest.kegg.jp/get/K15780
K15781	serB-plsC; putative phosphoserine phosphatase / 1-acylglycerol-3-phosphate O-acyltransferase		EC:3.1.3.3 EC:2.3.1.51		http://rest.kegg.jp/get/K15781
K15782	doeX; Lrp/AsnC family transcriptional regulator, regulator of ectoine-degradation genes				http://rest.kegg.jp/get/K15782
K15783	doeA; ectoine hydrolase	map00260(Glycine, serine and threonine metabolism); map01100(Metabolic pathways)	EC:3.5.4.44		http://rest.kegg.jp/get/K15783
K15784	doeB; N2-acetyl-L-2,4-diaminobutanoate deacetylase	map00260(Glycine, serine and threonine metabolism); map01100(Metabolic pathways)	EC:3.5.1.125		http://rest.kegg.jp/get/K15784
K15785	doeD; L-2,4-diaminobutyrate transaminase	map00260(Glycine, serine and threonine metabolism)	EC:2.6.1.76		http://rest.kegg.jp/get/K15785
K15786	doeC; aspartate-semialdehyde dehydrogenase	map00260(Glycine, serine and threonine metabolism)	EC:1.2.1.-		http://rest.kegg.jp/get/K15786
K15787	UGT78D1; flavonol-3-O-rhamnosyltransferase	map00944(Flavone and flavonol biosynthesis)	EC:2.4.1.-		http://rest.kegg.jp/get/K15787
K15789	TDH; threonine 3-dehydrogenase	map00260(Glycine, serine and threonine metabolism)	EC:1.1.1.103		http://rest.kegg.jp/get/K15789
K15790	nifQ; nitrogen fixation protein NifQ				http://rest.kegg.jp/get/K15790
K15791	DHKTD1; probable 2-oxoglutarate dehydrogenase E1 component DHKTD1		EC:1.2.4.2		http://rest.kegg.jp/get/K15791
K15792	murEF; murE/murF fusion protein	map00300(Lysine biosynthesis); map00550(Peptidoglycan biosynthesis)	EC:6.3.2.13 EC:6.3.2.10		http://rest.kegg.jp/get/K15792
K15793	K15793; acyclic sesquiterpene synthase	map00900(Terpenoid backbone biosynthesis); map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:4.2.3.49 EC:4.2.3.47 EC:3.1.7.6		http://rest.kegg.jp/get/K15793
K15794	E4.2.3.55; (S)-beta-bisabolene synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:4.2.3.55		http://rest.kegg.jp/get/K15794
K15795	TPS12_13; (Z)-gamma-bisabolene synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:4.2.3.40		http://rest.kegg.jp/get/K15795
K15796	TPS3; (E)-gamma-bisabolene synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:4.2.3.59		http://rest.kegg.jp/get/K15796
K15797	TPS6_11; (S)-beta-macrocarpene synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:5.5.1.17		http://rest.kegg.jp/get/K15797
K15798	SBS; santalene and bergamotene synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:4.2.3.50 EC:4.2.3.53 EC:4.2.3.54		http://rest.kegg.jp/get/K15798
K15799	BS, TPS11; (+)-alpha-barbatene/beta-chamigrene/thujopsene synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:4.2.3.69 EC:4.2.3.78 EC:4.2.3.79		http://rest.kegg.jp/get/K15799
K15800	GAO1; germacrene A oxidase	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:1.1.1.314 EC:1.14.13.123		http://rest.kegg.jp/get/K15800
K15801	SSTLH1; (E,E)-germacrene B synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:4.2.3.71		http://rest.kegg.jp/get/K15801
K15802	SSTLE1; germacrene C synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:4.2.3.60		http://rest.kegg.jp/get/K15802
K15803	GERD; (-)-germacrene D synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:4.2.3.75		http://rest.kegg.jp/get/K15803
K15804	EAS; 5-epiaristolochene synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:4.2.3.61		http://rest.kegg.jp/get/K15804
K15805	EAH; 5-epiaristolochene 1,3-dihydroxylase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:1.14.13.119		http://rest.kegg.jp/get/K15805
K15806	AG4; (+)-delta-selinene synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:4.2.3.76		http://rest.kegg.jp/get/K15806
K15807	TPS177; patchoulol/alpha-guaiene/delta-guaiene synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:4.2.3.70 EC:4.2.3.87 EC:4.2.3.93		http://rest.kegg.jp/get/K15807
K15808	QHS1; beta-caryophyllene synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:4.2.3.57		http://rest.kegg.jp/get/K15808
K15809	MXPSS1; cis-muuroladiene synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:4.2.3.67		http://rest.kegg.jp/get/K15809
K15810	DCD; dammaradiene synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:5.4.99.37		http://rest.kegg.jp/get/K15810
K15811	PDSA; protostadienol synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:5.4.99.32		http://rest.kegg.jp/get/K15811
K15812	CPQ; cucurbitadienol synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:5.4.99.33		http://rest.kegg.jp/get/K15812
K15813	LUP4; beta-amyrin synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:5.4.99.39		http://rest.kegg.jp/get/K15813
K15814	CYP93E1; beta-amyrin 24-hydroxylase	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:1.14.99.43		http://rest.kegg.jp/get/K15814
K15815	LUP2; lupeol synthase 2	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:5.4.99.39 EC:5.4.99.40 EC:5.4.99.41		http://rest.kegg.jp/get/K15815
K15816	LUP1; lupeol synthase 1	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:4.2.1.128 EC:5.4.99.41		http://rest.kegg.jp/get/K15816
K15817	DDS; dammarenediol II synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:4.2.1.125		http://rest.kegg.jp/get/K15817
K15818	M1; germanicol synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:5.4.99.34		http://rest.kegg.jp/get/K15818
K15819	M2; taraxerol synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:5.4.99.35		http://rest.kegg.jp/get/K15819
K15820	IMS1; isomultiflorenol synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:5.4.99.36		http://rest.kegg.jp/get/K15820
K15821	THAS1; thalianol synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:5.4.99.31		http://rest.kegg.jp/get/K15821
K15822	CAMS1, LUP3; camelliol C synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis)	EC:5.4.99.38		http://rest.kegg.jp/get/K15822
K15823	PEN1; arabidiol synthase	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01110(Biosynthesis of secondary metabolites)	EC:4.2.1.124		http://rest.kegg.jp/get/K15823
K15824	FAMET; farsoic acid methyltransferase	map00981(Insect hormone biosynthesis)			http://rest.kegg.jp/get/K15824
K15825	JHDK; juvenile hormone diol kinase	map00981(Insect hormone biosynthesis)			http://rest.kegg.jp/get/K15825
K15826	CYP4C7; sesquiterpenoid omega-hydroxylase	map00981(Insect hormone biosynthesis)			http://rest.kegg.jp/get/K15826
K15827	hycB; formate hydrogenlyase subunit 2				http://rest.kegg.jp/get/K15827
K15828	hycC; formate hydrogenlyase subunit 3				http://rest.kegg.jp/get/K15828
K15829	hycD; formate hydrogenlyase subunit 4				http://rest.kegg.jp/get/K15829
K15830	hycE; formate hydrogenlyase subunit 5				http://rest.kegg.jp/get/K15830
K15831	hycF; formate hydrogenlyase subunit 6				http://rest.kegg.jp/get/K15831
K15832	hycG; formate hydrogenlyase subunit 7				http://rest.kegg.jp/get/K15832
K15833	hycA; formate hydrogenlyase regulatory protein HycA				http://rest.kegg.jp/get/K15833
K15834	hycH; formate hydrogenlyase maturation protein HycH				http://rest.kegg.jp/get/K15834
K15835	murR; RpiR family transcriptional regulator, murPQ operon repressor				http://rest.kegg.jp/get/K15835
K15836	fhlA; formate hydrogenlyase transcriptional activator				http://rest.kegg.jp/get/K15836
K15837	GPSM2; G-protein signaling modulator 2				http://rest.kegg.jp/get/K15837
K15838	GPSM3, AGS4; G-protein signaling modulator 3				http://rest.kegg.jp/get/K15838
K15839	GPSM1, AGS3; G-protein signaling modulator 1	map05030(Cocaine addiction)			http://rest.kegg.jp/get/K15839
K15840	PDYN, PENKB; proenkephalin B (prodynorphin)	map05030(Cocaine addiction); map05031(Amphetamine addiction); map05034(Alcoholism)			http://rest.kegg.jp/get/K15840
K15841	glmY; small regulatory RNA GlmY	map02020(Two-component system)			http://rest.kegg.jp/get/K15841
K15842	cagA; cytotoxicity-associated immunodominant antigen	map05120(Epithelial cell signaling in Helicobacter pylori infection)		M00564	http://rest.kegg.jp/get/K15842
K15843	hopC, alpA; outer membrane protein HopC/AlpA	map05120(Epithelial cell signaling in Helicobacter pylori infection)			http://rest.kegg.jp/get/K15843
K15844	hopB, alpB; outer membrane protein HopB/AlpB	map05120(Epithelial cell signaling in Helicobacter pylori infection)			http://rest.kegg.jp/get/K15844
K15845	hopZ; outer membrane protein HopZ	map05120(Epithelial cell signaling in Helicobacter pylori infection)			http://rest.kegg.jp/get/K15845
K15846	hpaA; neuraminyllactose-binding hemagglutinin	map05120(Epithelial cell signaling in Helicobacter pylori infection)			http://rest.kegg.jp/get/K15846
K15847	babA; outer membrane protein BabA	map05120(Epithelial cell signaling in Helicobacter pylori infection)			http://rest.kegg.jp/get/K15847
K15848	sabA; outer membrane protein SabA	map05120(Epithelial cell signaling in Helicobacter pylori infection)			http://rest.kegg.jp/get/K15848
K15849	PAT, AAT; bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase	map00350(Tyrosine metabolism); map00360(Phenylalanine metabolism); map00400(Phenylalanine, tyrosine and tryptophan biosynthesis); map00950(Isoquinoline alkaloid biosynthesis); map00960(Tropane, piperidine and pyridine alkaloid biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics); map01230(Biosynthesis of amino acids)	EC:2.6.1.1 EC:2.6.1.78 EC:2.6.1.79	M00040	http://rest.kegg.jp/get/K15849
K15850	luxN; two-component system, autoinducer 1 sensor kinase/phosphatase LuxN	map02020(Two-component system); map02024(Quorum sensing)	EC:2.7.13.3		http://rest.kegg.jp/get/K15850
K15851	qrr; quorum regulatory RNA Qrr	map02020(Two-component system); map02024(Quorum sensing); map05111(Biofilm formation - Vibrio cholerae)			http://rest.kegg.jp/get/K15851
K15852	luxR, vanR; LuxR family transcriptional regulator, transcriptional activator of the bioluminescence operon	map02024(Quorum sensing)			http://rest.kegg.jp/get/K15852
K15853	luxD; acyl transferase	map02020(Two-component system); map02024(Quorum sensing)	EC:2.3.1.-		http://rest.kegg.jp/get/K15853
K15854	luxB; alkanal monooxygenase beta chain	map02020(Two-component system); map02024(Quorum sensing)	EC:1.14.14.3		http://rest.kegg.jp/get/K15854
K15855	csxA; exo-1,4-beta-D-glucosaminidase	map00520(Amino sugar and nucleotide sugar metabolism); map01100(Metabolic pathways)	EC:3.2.1.165		http://rest.kegg.jp/get/K15855
K15856	rmd; GDP-4-dehydro-6-deoxy-D-mannose reductase	map00051(Fructose and mannose metabolism); map00520(Amino sugar and nucleotide sugar metabolism)	EC:1.1.1.281		http://rest.kegg.jp/get/K15856
K15857	ascE; CDP-3, 6-dideoxy-D-glycero-D-glycero-4-hexulose-5-epimerase	map00520(Amino sugar and nucleotide sugar metabolism)	EC:5.1.-.-		http://rest.kegg.jp/get/K15857
K15858	ascF; CDP-3, 6-dideoxy-D-glycero-L-glycero-4-hexulose-4-reductase	map00520(Amino sugar and nucleotide sugar metabolism)	EC:1.1.1.-		http://rest.kegg.jp/get/K15858
K15859	SKN7; osomolarity two-component system, response regulator SKN7	map02020(Two-component system)		M00516	http://rest.kegg.jp/get/K15859
K15860	ciaX; regulatory peptide CiaX	map01120(Microbial metabolism in diverse environments); map02020(Two-component system)			http://rest.kegg.jp/get/K15860
K15861	fixK; CRP/FNR family transcriptional regulator, nitrogen fixation regulation protein	map02020(Two-component system)			http://rest.kegg.jp/get/K15861
K15862	ccoNO; cytochrome c oxidase cbb3-type subunit I/II	map00190(Oxidative phosphorylation); map01100(Metabolic pathways); map02020(Two-component system)	EC:1.9.3.1	M00156	http://rest.kegg.jp/get/K15862
K15863	nuoLM; NADH-quinone oxidoreductase subunit L/M	map00190(Oxidative phosphorylation); map01100(Metabolic pathways)	EC:1.6.5.3	M00144	http://rest.kegg.jp/get/K15863
K15864	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase	map00910(Nitrogen metabolism); map01120(Microbial metabolism in diverse environments)	EC:1.7.2.1 EC:1.7.99.1	M00529	http://rest.kegg.jp/get/K15864
K15865	CDKAL1; threonylcarbamoyladenosine tRNA methylthiotransferase CDKAL1		EC:2.8.4.5		http://rest.kegg.jp/get/K15865
K15866	paaG; 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase	map00360(Phenylalanine metabolism); map01120(Microbial metabolism in diverse environments)	EC:5.3.3.18		http://rest.kegg.jp/get/K15866
K15867	ARC; activity-regulated cytoskeleton-associated protein	map05031(Amphetamine addiction)			http://rest.kegg.jp/get/K15867
K15868	baiB; bile acid-coenzyme A ligase	map00121(Secondary bile acid biosynthesis)	EC:6.2.1.7		http://rest.kegg.jp/get/K15868
K15869	baiA; 3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase	map00121(Secondary bile acid biosynthesis)	EC:1.1.1.395		http://rest.kegg.jp/get/K15869
K15870	baiCD; NAD+-dependent 7alpha-hydroxy-3-oxo bile acid-CoA-ester 4-dehydrogenase	map00121(Secondary bile acid biosynthesis)			http://rest.kegg.jp/get/K15870
K15871	baiF; bile acid CoA-transferase	map00121(Secondary bile acid biosynthesis)	EC:2.8.3.25		http://rest.kegg.jp/get/K15871
K15872	baiE; bile-acid 7alpha-dehydratase	map00121(Secondary bile acid biosynthesis)	EC:4.2.1.106		http://rest.kegg.jp/get/K15872
K15873	baiH; NAD+-dependent 7beta-hydroxy-3-oxo bile acid-CoA-ester 4-dehydrogenase	map00121(Secondary bile acid biosynthesis)			http://rest.kegg.jp/get/K15873
K15874	baiI; bile acid 7beta-dehydratase	map00121(Secondary bile acid biosynthesis)			http://rest.kegg.jp/get/K15874
